iter	Passed	Remaining
0	16	16489
1	29	14492
2	42	14098
3	55	13895
4	69	13871
5	82	13705
6	96	13703
7	107	13364
8	118	13052
9	129	12818
10	139	12576
11	150	12393
12	160	12207
13	171	12058
14	181	11940
15	192	11827
16	202	11713
17	213	11643
18	223	11556
19	234	11485
20	245	11426
21	256	11384
22	266	11326
23	277	11278
24	287	11214
25	298	11177
26	308	11133
27	319	11084
28	330	11053
29	341	11027
30	351	10979
31	361	10937
32	372	10916
33	383	10883
34	393	10850
35	404	10818
36	414	10794
37	425	10770
38	435	10739
39	446	10713
40	457	10693
41	467	10664
42	478	10642
43	489	10631
44	500	10612
45	511	10598
46	522	10584
47	532	10557
48	543	10541
49	553	10525
50	564	10506
51	575	10487
52	585	10460
53	596	10442
54	606	10421
55	617	10400
56	628	10391
57	639	10383
58	649	10358
59	660	10345
60	670	10326
61	681	10307
62	691	10285
63	701	10265
64	712	10245
65	723	10234
66	734	10233
67	745	10222
68	756	10206
69	766	10187
70	777	10172
71	787	10152
72	798	10135
73	808	10121
74	819	10104
75	829	10089
76	840	10074
77	850	10058
78	861	10043
79	872	10032
80	882	10011
81	892	9993
82	903	9979
83	913	9962
84	924	9950
85	935	9942
86	946	9929
87	957	9919
88	967	9905
89	978	9892
90	989	9879
91	999	9864
92	1010	9858
93	1021	9847
94	1032	9831
95	1042	9815
96	1053	9802
97	1063	9784
98	1074	9777
99	1085	9771
100	1096	9759
101	1106	9745
102	1118	9737
103	1128	9722
104	1139	9709
105	1149	9695
106	1159	9679
107	1170	9668
108	1180	9651
109	1191	9639
110	1202	9628
111	1212	9614
112	1223	9602
113	1233	9590
114	1244	9575
115	1255	9564
116	1265	9549
117	1275	9534
118	1286	9524
119	1297	9516
120	1308	9505
121	1319	9494
122	1330	9483
123	1340	9468
124	1350	9456
125	1360	9439
126	1371	9429
127	1382	9416
128	1392	9402
129	1403	9393
130	1414	9381
131	1424	9366
132	1434	9353
133	1445	9339
134	1455	9324
135	1466	9313
136	1476	9303
137	1487	9291
138	1497	9278
139	1507	9262
140	1518	9251
141	1529	9241
142	1540	9229
143	1550	9217
144	1561	9205
145	1571	9190
146	1581	9178
147	1592	9165
148	1603	9156
149	1614	9148
150	1624	9134
151	1634	9119
152	1645	9108
153	1655	9093
154	1666	9085
155	1677	9073
156	1687	9060
157	1698	9049
158	1708	9035
159	1718	9023
160	1729	9011
161	1739	8998
162	1751	8995
163	1762	8983
164	1772	8969
165	1783	8958
166	1793	8946
167	1803	8933
168	1814	8923
169	1825	8911
170	1835	8900
171	1846	8890
172	1857	8877
173	1867	8867
174	1878	8855
175	1888	8842
176	1898	8828
177	1909	8816
178	1919	8802
179	1930	8792
180	1940	8780
181	1950	8767
182	1961	8755
183	1971	8743
184	1982	8732
185	1992	8719
186	2003	8708
187	2013	8696
188	2024	8685
189	2034	8672
190	2045	8663
191	2055	8651
192	2066	8641
193	2077	8631
194	2087	8619
195	2098	8609
196	2109	8598
197	2119	8585
198	2130	8573
199	2140	8561
200	2151	8551
201	2162	8540
202	2172	8530
203	2182	8516
204	2193	8505
205	2203	8492
206	2214	8483
207	2225	8472
208	2235	8460
209	2246	8449
210	2256	8437
211	2266	8425
212	2277	8416
213	2288	8404
214	2298	8390
215	2308	8378
216	2318	8364
217	2328	8353
218	2339	8344
219	2350	8331
220	2360	8322
221	2371	8310
222	2381	8298
223	2392	8287
224	2402	8274
225	2412	8263
226	2423	8251
227	2433	8239
228	2443	8227
229	2454	8218
230	2464	8205
231	2475	8194
232	2485	8182
233	2495	8169
234	2506	8158
235	2516	8146
236	2527	8135
237	2537	8123
238	2547	8111
239	2558	8102
240	2569	8093
241	2579	8080
242	2589	8067
243	2600	8056
244	2610	8045
245	2621	8035
246	2632	8024
247	2642	8013
248	2652	8000
249	2663	7989
250	2673	7978
251	2683	7966
252	2694	7954
253	2704	7944
254	2715	7932
255	2725	7922
256	2738	7918
257	2749	7906
258	2760	7896
259	2770	7885
260	2781	7875
261	2791	7864
262	2802	7853
263	2812	7840
264	2822	7829
265	2833	7818
266	2843	7807
267	2854	7797
268	2864	7785
269	2875	7773
270	2885	7762
271	2895	7750
272	2906	7739
273	2916	7728
274	2927	7717
275	2937	7705
276	2947	7692
277	2957	7681
278	2967	7669
279	2978	7657
280	2988	7646
281	2998	7634
282	3008	7623
283	3019	7611
284	3028	7598
285	3039	7588
286	3050	7577
287	3061	7567
288	3071	7557
289	3081	7545
290	3091	7533
291	3102	7522
292	3112	7510
293	3123	7499
294	3133	7489
295	3144	7477
296	3154	7466
297	3164	7455
298	3174	7443
299	3185	7433
300	3196	7423
301	3206	7411
302	3217	7401
303	3227	7388
304	3237	7378
305	3248	7367
306	3259	7356
307	3269	7346
308	3280	7335
309	3290	7324
310	3301	7313
311	3311	7302
312	3322	7291
313	3332	7280
314	3342	7268
315	3353	7257
316	3363	7246
317	3373	7236
318	3384	7224
319	3394	7212
320	3404	7201
321	3414	7190
322	3424	7178
323	3435	7167
324	3446	7157
325	3456	7146
326	3467	7136
327	3478	7126
328	3488	7114
329	3499	7104
330	3509	7093
331	3520	7082
332	3530	7071
333	3540	7059
334	3551	7049
335	3561	7039
336	3572	7028
337	3582	7017
338	3593	7006
339	3603	6995
340	3614	6985
341	3624	6973
342	3635	6963
343	3646	6952
344	3656	6942
345	3667	6932
346	3678	6921
347	3688	6910
348	3699	6899
349	3709	6889
350	3720	6878
351	3732	6871
352	3743	6860
353	3753	6848
354	3763	6837
355	3773	6826
356	3783	6815
357	3794	6804
358	3804	6792
359	3815	6782
360	3825	6771
361	3835	6760
362	3845	6748
363	3855	6737
364	3865	6725
365	3876	6715
366	3887	6704
367	3897	6694
368	3908	6683
369	3918	6672
370	3929	6661
371	3939	6651
372	3950	6640
373	3960	6629
374	3971	6618
375	3981	6607
376	3992	6597
377	4002	6585
378	4012	6575
379	4023	6564
380	4033	6553
381	4044	6542
382	4054	6532
383	4064	6520
384	4075	6509
385	4085	6498
386	4096	6488
387	4106	6477
388	4116	6466
389	4127	6455
390	4137	6444
391	4148	6434
392	4160	6425
393	4170	6415
394	4180	6403
395	4191	6393
396	4201	6381
397	4212	6371
398	4222	6360
399	4232	6349
400	4243	6338
401	4254	6328
402	4264	6318
403	4275	6307
404	4286	6296
405	4296	6286
406	4306	6275
407	4317	6264
408	4327	6253
409	4338	6243
410	4348	6232
411	4359	6221
412	4370	6211
413	4380	6200
414	4391	6190
415	4402	6179
416	4412	6168
417	4423	6158
418	4433	6147
419	4444	6136
420	4454	6126
421	4464	6115
422	4475	6104
423	4485	6093
424	4495	6082
425	4505	6071
426	4516	6060
427	4526	6049
428	4537	6038
429	4547	6027
430	4557	6017
431	4568	6006
432	4578	5995
433	4589	5985
434	4599	5974
435	4609	5963
436	4620	5952
437	4630	5940
438	4641	5930
439	4651	5920
440	4661	5909
441	4672	5898
442	4683	5888
443	4693	5877
444	4703	5866
445	4714	5855
446	4726	5846
447	4736	5836
448	4747	5825
449	4757	5815
450	4768	5804
451	4778	5793
452	4788	5782
453	4798	5771
454	4809	5760
455	4819	5749
456	4830	5739
457	4840	5727
458	4850	5717
459	4860	5705
460	4871	5695
461	4882	5685
462	4892	5674
463	4902	5663
464	4913	5653
465	4924	5642
466	4934	5632
467	4945	5621
468	4955	5610
469	4966	5600
470	4977	5589
471	4987	5579
472	4997	5568
473	5007	5557
474	5018	5546
475	5028	5535
476	5038	5524
477	5048	5513
478	5059	5502
479	5069	5491
480	5079	5481
481	5090	5470
482	5100	5459
483	5111	5448
484	5121	5438
485	5131	5427
486	5141	5416
487	5152	5405
488	5163	5395
489	5173	5384
490	5183	5374
491	5194	5363
492	5204	5352
493	5215	5341
494	5225	5330
495	5236	5320
496	5246	5309
497	5256	5298
498	5267	5288
499	5277	5277
500	5287	5266
501	5298	5256
502	5308	5244
503	5318	5233
504	5328	5223
505	5339	5212
506	5350	5202
507	5360	5191
508	5370	5180
509	5381	5170
510	5391	5159
511	5402	5148
512	5412	5138
513	5423	5127
514	5433	5117
515	5443	5106
516	5454	5095
517	5464	5084
518	5474	5074
519	5484	5062
520	5494	5052
521	5504	5040
522	5515	5030
523	5526	5019
524	5536	5009
525	5546	4998
526	5557	4988
527	5567	4977
528	5578	4966
529	5588	4955
530	5598	4945
531	5609	4934
532	5619	4923
533	5630	4913
534	5640	4902
535	5650	4891
536	5661	4881
537	5671	4870
538	5682	4859
539	5692	4849
540	5703	4838
541	5715	4829
542	5725	4818
543	5735	4807
544	5745	4796
545	5756	4786
546	5766	4775
547	5776	4764
548	5786	4753
549	5797	4743
550	5807	4732
551	5818	4722
552	5828	4711
553	5839	4701
554	5849	4690
555	5860	4679
556	5870	4669
557	5880	4658
558	5891	4647
559	5901	4636
560	5912	4626
561	5923	4616
562	5933	4605
563	5944	4595
564	5954	4584
565	5965	4573
566	5974	4562
567	5985	4552
568	5995	4541
569	6005	4530
570	6015	4519
571	6026	4509
572	6036	4498
573	6046	4487
574	6056	4476
575	6067	4466
576	6077	4455
577	6088	4445
578	6098	4434
579	6108	4423
580	6119	4412
581	6129	4402
582	6140	4392
583	6151	4381
584	6161	4370
585	6171	4360
586	6181	4349
587	6192	4338
588	6202	4328
589	6212	4317
590	6223	4306
591	6233	4296
592	6244	4285
593	6254	4275
594	6265	4264
595	6275	4253
596	6285	4243
597	6295	4232
598	6306	4221
599	6316	4211
600	6326	4200
601	6337	4189
602	6347	4179
603	6358	4168
604	6368	4157
605	6378	4147
606	6388	4136
607	6399	4125
608	6409	4115
609	6420	4104
610	6430	4093
611	6441	4083
612	6451	4073
613	6461	4062
614	6472	4051
615	6482	4040
616	6492	4030
617	6502	4019
618	6513	4008
619	6523	3998
620	6534	3987
621	6543	3976
622	6554	3966
623	6565	3956
624	6575	3945
625	6586	3935
626	6596	3924
627	6606	3913
628	6617	3903
629	6627	3892
630	6637	3881
631	6648	3871
632	6658	3860
633	6669	3850
634	6679	3839
635	6690	3828
636	6702	3819
637	6713	3808
638	6723	3798
639	6733	3787
640	6743	3776
641	6754	3766
642	6764	3755
643	6774	3745
644	6785	3734
645	6795	3724
646	6805	3713
647	6816	3702
648	6826	3692
649	6837	3681
650	6847	3670
651	6857	3660
652	6868	3649
653	6878	3639
654	6888	3628
655	6899	3618
656	6910	3607
657	6920	3596
658	6930	3586
659	6940	3575
660	6950	3564
661	6961	3554
662	6971	3543
663	6982	3533
664	6992	3522
665	7002	3511
666	7013	3501
667	7023	3490
668	7034	3480
669	7045	3470
670	7056	3459
671	7066	3449
672	7077	3438
673	7087	3427
674	7097	3417
675	7108	3406
676	7118	3396
677	7129	3385
678	7139	3375
679	7149	3364
680	7160	3353
681	7170	3343
682	7181	3333
683	7191	3322
684	7201	3311
685	7212	3301
686	7222	3290
687	7232	3279
688	7243	3269
689	7254	3259
690	7264	3248
691	7275	3238
692	7285	3227
693	7295	3216
694	7306	3206
695	7316	3195
696	7327	3185
697	7338	3174
698	7348	3164
699	7359	3153
700	7369	3143
701	7380	3132
702	7390	3122
703	7401	3111
704	7411	3101
705	7422	3090
706	7432	3080
707	7443	3069
708	7453	3058
709	7463	3048
710	7473	3037
711	7483	3027
712	7494	3016
713	7504	3006
714	7514	2995
715	7525	2984
716	7535	2974
717	7545	2963
718	7556	2953
719	7567	2942
720	7578	2932
721	7588	2922
722	7599	2911
723	7609	2900
724	7619	2890
725	7629	2879
726	7639	2868
727	7649	2858
728	7660	2847
729	7671	2837
730	7681	2826
731	7693	2816
732	7704	2806
733	7714	2795
734	7724	2785
735	7734	2774
736	7744	2763
737	7755	2753
738	7765	2742
739	7775	2732
740	7786	2721
741	7796	2710
742	7806	2700
743	7817	2689
744	7827	2679
745	7838	2668
746	7848	2658
747	7859	2647
748	7869	2637
749	7879	2626
750	7906	2621
751	7919	2611
752	7932	2602
753	7945	2592
754	7958	2582
755	7971	2572
756	7984	2563
757	7996	2553
758	8009	2543
759	8023	2533
760	8036	2523
761	8048	2513
762	8061	2503
763	8073	2493
764	8086	2483
765	8096	2473
766	8107	2462
767	8117	2452
768	8127	2441
769	8137	2430
770	8147	2420
771	8158	2409
772	8169	2399
773	8179	2388
774	8190	2377
775	8200	2367
776	8210	2356
777	8221	2345
778	8231	2335
779	8242	2324
780	8252	2314
781	8262	2303
782	8273	2292
783	8283	2282
784	8293	2271
785	8303	2260
786	8313	2250
787	8323	2239
788	8334	2228
789	8344	2218
790	8355	2207
791	8365	2197
792	8376	2186
793	8387	2176
794	8397	2165
795	8407	2154
796	8418	2144
797	8428	2133
798	8438	2122
799	8448	2112
800	8459	2101
801	8469	2090
802	8479	2080
803	8489	2069
804	8500	2059
805	8510	2048
806	8521	2037
807	8531	2027
808	8541	2016
809	8552	2006
810	8562	1995
811	8572	1984
812	8583	1974
813	8593	1963
814	8603	1953
815	8614	1942
816	8624	1931
817	8635	1921
818	8645	1910
819	8655	1899
820	8665	1889
821	8677	1879
822	8687	1868
823	8697	1857
824	8707	1847
825	8718	1836
826	8728	1825
827	8738	1815
828	8749	1804
829	8759	1794
830	8769	1783
831	8780	1773
832	8790	1762
833	8801	1751
834	8811	1741
835	8821	1730
836	8832	1719
837	8842	1709
838	8852	1698
839	8863	1688
840	8873	1677
841	8883	1667
842	8894	1656
843	8904	1645
844	8915	1635
845	8926	1624
846	8936	1614
847	8947	1603
848	8957	1593
849	8967	1582
850	8978	1572
851	8988	1561
852	8999	1550
853	9009	1540
854	9020	1529
855	9030	1519
856	9041	1508
857	9051	1497
858	9061	1487
859	9071	1476
860	9082	1466
861	9092	1455
862	9102	1445
863	9113	1434
864	9124	1424
865	9134	1413
866	9145	1402
867	9155	1392
868	9166	1381
869	9176	1371
870	9186	1360
871	9197	1350
872	9207	1339
873	9218	1328
874	9228	1318
875	9239	1307
876	9249	1297
877	9260	1286
878	9270	1276
879	9281	1265
880	9292	1255
881	9303	1244
882	9313	1234
883	9324	1223
884	9335	1213
885	9345	1202
886	9355	1191
887	9365	1181
888	9376	1170
889	9387	1160
890	9397	1149
891	9407	1139
892	9417	1128
893	9428	1117
894	9438	1107
